"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-08";"168";"136267 (85448, 187087)";"2181 (1192, 3171)";"692273 (427106, 957440)";"10869 (5985, 15752)";"124709 (68750, 180669)";"86735 (47410, 126061)";"17332 (9468, 25196)";"26017 (15991, 36043)";"46830 (28784, 64877)";"40%"
"2015-05-07";"167";"134086 (84256, 183916)";"2151 (1174, 3128)";"681404 (421120, 941688)";"10728 (5896, 15560)";"123097 (67717, 178476)";"85559 (46720, 124399)";"17087 (9334, 24840)";"25662 (15760, 35563)";"46191 (28368, 64014)";"40%"
"2015-05-06";"166";"131935 (83082, 180788)";"2122 (1157, 3087)";"670677 (415225, 926129)";"10587 (5808, 15367)";"121494 (66704, 176285)";"84392 (46043, 122742)";"16845 (9203, 24487)";"25309 (15533, 35085)";"45557 (27960, 63153)";"40%"
"2015-05-05";"165";"129813 (81924, 177701)";"2093 (1141, 3045)";"660089 (409417, 910762)";"10448 (5721, 15175)";"119902 (65710, 174094)";"83235 (45378, 121092)";"16605 (9074, 24135)";"24960 (15310, 34609)";"44928 (27558, 62297)";"40%"
"2015-05-04";"164";"127720 (80784, 174657)";"2064 (1124, 3003)";"649641 (403696, 895586)";"10310 (5636, 14984)";"118321 (64735, 171906)";"82087 (44725, 119448)";"16367 (8947, 23786)";"24613 (15091, 34136)";"44304 (27163, 61445)";"40%"
"2015-05-03";"163";"125656 (79660, 171653)";"2035 (1108, 2962)";"639331 (398059, 880603)";"10173 (5553, 14792)";"116750 (63779, 169721)";"80948 (44085, 117811)";"16131 (8822, 23440)";"24270 (14875, 33665)";"43686 (26774, 60597)";"40%"
"2015-05-02";"162";"123621 (78551, 168691)";"2007 (1092, 2921)";"629158 (392505, 865811)";"10036 (5472, 14601)";"115190 (62840, 167541)";"79819 (43456, 116183)";"15898 (8700, 23095)";"23929 (14662, 33196)";"43073 (26392, 59754)";"40%"
"2015-05-01";"161";"121615 (77459, 165770)";"1978 (1077, 2880)";"619122 (387033, 851210)";" 9901 (5392, 14410)";"113642 (61919, 165365)";"78700 (42839, 114562)";"15667 (8580, 22754)";"23592 (14453, 32731)";"42465 (26015, 58915)";"40%"
"2015-04-30";"160";"119636 (76382, 162890)";"1950 (1062, 2839)";"609221 (381641, 836800)";" 9767 (5313, 14220)";"112105 (61016, 163195)";"77591 (42233, 112950)";"15438 (8462, 22415)";"23257 (14247, 32268)";"41863 (25645, 58082)";"40%"
"2015-04-29";"159";"117686 (75320, 160051)";"1923 (1047, 2799)";"599454 (376328, 822580)";" 9634 (5236, 14031)";"110581 (60129, 161032)";"76493 (41637, 111348)";"15212 (8345, 22078)";"22926 (14045, 31807)";"41267 (25281, 57253)";"40%"
"2015-04-28";"158";"115763 (74274, 157252)";"1895 (1032, 2759)";"589820 (371091, 808549)";" 9501 (5161, 13842)";"109068 (59259, 158876)";"75404 (41053, 109755)";"14988 (8231, 21745)";"22598 (13846, 31350)";"40676 (24922, 56431)";"40%"
"2015-04-27";"157";"113868 (73241, 154494)";"1868 (1018, 2719)";"580319 (365931, 794707)";" 9370 (5086, 13654)";"107567 (58406, 156728)";"74326 (40479, 108172)";"14766 (8119, 21414)";"22273 (13650, 30896)";"40091 (24569, 55613)";"40%"
"2015-04-26";"156";"111999 (72224, 151775)";"1841 (1004, 2679)";"570948 (360844, 781053)";" 9240 (5014, 13467)";"106079 (57568, 154590)";"73258 (39915, 106600)";"14547 (8008, 21086)";"21951 (13457, 30446)";"39512 (24222, 54802)";"40%"
"2015-04-25";"155";"110158 (71220, 149096)";"1815 ( 990, 2640)";"561708 (355830, 767586)";" 9111 (4942, 13281)";"104603 (56745, 152461)";"72200 (39361, 105039)";"14330 (7900, 20761)";"21633 (13267, 29998)";"38939 (23880, 53997)";"40%"
"2015-04-24";"154";"108343 (70230, 146456)";"1788 ( 976, 2601)";"552597 (350888, 754306)";" 8984 (4872, 13095)";"103140 (55938, 150342)";"71153 (38816, 103489)";"14116 (7793, 20439)";"21317 (13080, 29554)";"38371 (23544, 53198)";"40%"
"2015-04-23";"153";"106555 (69254, 143856)";"1762 ( 963, 2562)";"543613 (346015, 741210)";" 8857 (4803, 12911)";"101690 (55146, 148235)";"70116 (38281, 101951)";"13904 (7688, 20120)";"21005 (12896, 29114)";"37809 (23213, 52405)";"40%"
"2015-04-22";"152";"104793 (68292, 141294)";"1736 ( 949, 2523)";"534756 (341212, 728300)";" 8732 (4735, 12728)";"100253 (54368, 146139)";"69090 (37756, 100424)";"13694 (7585, 19804)";"20696 (12715, 28677)";"37253 (22887, 51619)";"40%"
"2015-04-21";"151";"103057 (67342, 138771)";"1711 ( 936, 2485)";"526024 (336476, 715572)";" 8607 (4669, 12545)";" 98829 (53604, 144055)";"68075 (37239,  98910)";"13487 (7483, 19491)";"20390 (12537, 28244)";"36703 (22566, 50839)";"40%"
"2015-04-20";"150";"101346 (66406, 136286)";"1685 ( 924, 2447)";"517417 (331807, 703027)";" 8484 (4604, 12364)";" 97419 (52854, 141984)";"67070 (36731,  97409)";"13282 (7383, 19182)";"20088 (12361, 27815)";"36158 (22250, 50067)";"40%"
"2015-04-19";"149";" 99660 (65482, 133839)";"1660 ( 911, 2410)";"508933 (327203, 690663)";" 8362 (4540, 12184)";" 96022 (52117, 139926)";"66076 (36232,  95920)";"13080 (7284, 18875)";"19789 (12188, 27389)";"35620 (21939, 49301)";"40%"
"2015-04-18";"148";" 98000 (64571, 131429)";"1636 ( 899, 2373)";"500571 (322663, 678479)";" 8241 (4477, 12006)";" 94638 (51393, 137882)";"65093 (35741,  94444)";"12880 (7187, 18572)";"19493 (12018, 26968)";"35087 (21633, 48542)";"40%"
"2015-04-17";"147";" 96364 (63672, 129056)";"1611 ( 887, 2336)";"492329 (318185, 666473)";" 8122 (4415, 11828)";" 93268 (50682, 135853)";"64120 (35258,  92982)";"12682 (7092, 18272)";"19200 (11851, 26550)";"34561 (21331, 47790)";"40%"
"2015-04-16";"146";" 94753 (62786, 126721)";"1587 ( 875, 2299)";"484208 (313770, 654645)";" 8003 (4354, 11652)";" 91911 (49984, 133839)";"63158 (34783,  91534)";"12487 (6998, 17975)";"18911 (11686, 26137)";"34040 (21034, 47046)";"40%"
"2015-04-15";"145";" 93166 (61911, 124422)";"1563 ( 863, 2263)";"476204 (309415, 642993)";" 7886 (4295, 11478)";" 90569 (49297, 131840)";"62207 (34315,  90099)";"12294 (6905, 17682)";"18625 (11523, 25727)";"33525 (20742, 46309)";"40%"
"2015-04-14";"144";" 91603 (61048, 122159)";"1539 ( 851, 2227)";"468318 (305121, 631515)";" 7770 (4236, 11305)";" 89240 (48623, 129856)";"61267 (33856,  88678)";"12103 (6814, 17392)";"18343 (11363, 25322)";"33017 (20454, 45579)";"40%"
"2015-04-13";"143";" 90064 (60197, 119931)";"1516 ( 840, 2192)";"460548 (300884, 620211)";" 7656 (4178, 11133)";" 87925 (47960, 127889)";"60338 (33403,  87272)";"11915 (6724, 17106)";"18063 (11206, 24921)";"32514 (20170, 44857)";"40%"
"2015-04-12";"142";" 88548 (59356, 117740)";"1493 ( 829, 2157)";"452892 (296706, 609079)";" 7542 (4122, 10962)";" 86623 (47308, 125939)";"59419 (32958,  85880)";"11729 (6636, 16822)";"17787 (11050, 24524)";"32017 (19891, 44143)";"40%"
"2015-04-11";"141";" 87055 (58528, 115583)";"1470 ( 818, 2122)";"445350 (292584, 598117)";" 7430 (4066, 10793)";" 85336 (46667, 124005)";"58511 (32520,  84502)";"11545 (6548, 16542)";"17514 (10897, 24131)";"31525 (19615, 43436)";"40%"
"2015-04-10";"140";" 85585 (57710, 113461)";"1447 ( 807, 2088)";"437920 (288517, 587323)";" 7319 (4011, 10626)";" 84063 (46037, 122089)";"57614 (32088,  83140)";"11364 (6463, 16266)";"17245 (10747, 23743)";"31040 (19344, 42737)";"40%"
"2015-04-09";"139";" 84138 (56903, 111373)";"1425 ( 796, 2054)";"430602 (284506, 576698)";" 7209 (3957, 10460)";" 82804 (45417, 120190)";"56728 (31664,  81792)";"11185 (6378, 15993)";"16978 (10598, 23358)";"30561 (19076, 42045)";"40%"
"2015-04-08";"138";" 82713 (56106, 109319)";"1403 ( 786, 2020)";"423393 (280549, 566237)";" 7100 (3904, 10296)";" 81559 (44808, 118310)";"55852 (31245,  80458)";"11009 (6294, 15723)";"16715 (10452, 22979)";"30087 (18813, 41362)";"40%"
"2015-04-07";"137";" 81310 (55320, 107299)";"1381 ( 775, 1987)";"416293 (276644, 555942)";" 6993 (3852, 10134)";" 80328 (44208, 116447)";"54987 (30834,  79140)";"10834 (6212, 15457)";"16455 (10307, 22603)";"29620 (18553, 40686)";"40%"
"2015-04-06";"136";" 79928 (54545, 105312)";"1360 ( 765, 1954)";"409300 (272792, 545808)";" 6887 (3801,  9973)";" 79111 (43618, 114603)";"54133 (30428,  77838)";"10662 (6131, 15194)";"16199 (10165, 22232)";"29158 (18297, 40018)";"40%"
"2015-04-05";"135";" 78569 (53779, 103358)";"1339 ( 755, 1922)";"402413 (268991, 535836)";" 6782 (3750,  9813)";" 77908 (43038, 112778)";"53289 (30028,  76550)";"10493 (6051, 14934)";"15945 (10025, 21866)";"28702 (18045, 39358)";"40%"
"2015-04-04";"134";" 77230 (53024, 101436)";"1318 ( 745, 1890)";"395632 (265241, 526023)";" 6678 (3700,  9656)";" 76719 (42466, 110971)";"52456 (29634,  75277)";"10325 (5972, 14678)";"15695 ( 9887, 21504)";"28251 (17797, 38706)";"40%"
"2015-04-03";"133";" 75912 (52279,  99546)";"1297 ( 736, 1858)";"388954 (261540, 516367)";" 6576 (3651,  9500)";" 75544 (41904, 109184)";"51633 (29246,  74020)";"10160 (5894, 14426)";"15448 ( 9751, 21146)";"27807 (17552, 38062)";"40%"
"2015-04-02";"132";" 74615 (51543,  97688)";"1276 ( 726, 1827)";"382378 (257888, 506868)";" 6474 (3603,  9346)";" 74383 (41350, 107416)";"50821 (28864,  72779)";" 9997 (5817, 14177)";"15205 ( 9617, 20792)";"27368 (17310, 37426)";"40%"
"2015-04-01";"131";" 73339 (50817,  95861)";"1256 ( 717, 1796)";"375904 (254285, 497522)";" 6374 (3556,  9193)";" 73236 (40805, 105667)";"50020 (28487,  71552)";" 9836 (5742, 13931)";"14964 ( 9484, 20444)";"26935 (17072, 36798)";"40%"
"2015-03-31";"130";" 72083 (50100,  94065)";"1236 ( 707, 1766)";"369529 (250729, 488330)";" 6276 (3509,  9042)";" 72103 (40268, 103938)";"49228 (28115,  70341)";" 9678 (5667, 13688)";"14726 ( 9354, 20099)";"26508 (16837, 36178)";"40%"
"2015-03-30";"129";" 70846 (49393,  92299)";"1217 ( 698, 1736)";"363253 (247219, 479288)";" 6178 (3463,  8893)";" 70984 (39739, 102229)";"48447 (27749,  69146)";" 9521 (5593, 13449)";"14492 ( 9225, 19759)";"26086 (16605, 35566)";"40%"
"2015-03-29";"128";" 69629 (48695,  90564)";"1197 ( 689, 1706)";"357075 (243756, 470395)";" 6082 (3418,  8746)";" 69878 (39218, 100539)";"47677 (27388,  67966)";" 9367 (5521, 13213)";"14261 ( 9098, 19424)";"25670 (16377, 34962)";"40%"
"2015-03-28";"127";" 68432 (48006,  88858)";"1178 ( 680, 1677)";"350994 (240338, 461649)";" 5987 (3373,  8600)";" 68787 (38704,  98869)";"46916 (27031,  66802)";" 9215 (5449, 12981)";"14033 ( 8973, 19092)";"25259 (16152, 34366)";"40%"
"2015-03-27";"126";" 67254 (47326,  87181)";"1159 ( 671, 1648)";"345007 (236965, 453049)";" 5893 (3329,  8456)";" 67709 (38199,  97220)";"46166 (26680,  65652)";" 9065 (5378, 12752)";"13808 ( 8850, 18766)";"24854 (15930, 33778)";"40%"
"2015-03-26";"125";" 66094 (46655,  85533)";"1141 ( 662, 1619)";"339115 (233636, 444593)";" 5800 (3285,  8314)";" 66645 (37700,  95590)";"45426 (26333,  64519)";" 8917 (5308, 12526)";"13586 ( 8728, 18443)";"24454 (15710, 33198)";"40%"
"2015-03-25";"124";" 64953 (45993,  83914)";"1122 ( 654, 1591)";"333315 (230350, 436279)";" 5708 (3243,  8174)";" 65595 (37209,  93981)";"44696 (25991,  63400)";" 8771 (5239, 12303)";"13367 ( 8608, 18126)";"24060 (15494, 32626)";"40%"
"2015-03-24";"123";" 63831 (45339,  82323)";"1104 ( 645, 1563)";"327606 (227107, 428105)";" 5618 (3200,  8036)";" 64558 (36724,  92392)";"43976 (25654,  62297)";" 8628 (5171, 12084)";"13151 ( 8490, 17812)";"23671 (15281, 32062)";"40%"
"2015-03-23";"122";" 62727 (44693,  80760)";"1086 ( 637, 1536)";"321988 (223906, 420070)";" 5529 (3159,  7899)";" 63535 (36247,  90823)";"43265 (25321,  61209)";" 8486 (5104, 11868)";"12938 ( 8373, 17503)";"23288 (15071, 31505)";"40%"
"2015-03-22";"121";" 61640 (44056,  79224)";"1069 ( 629, 1509)";"316459 (220747, 412172)";" 5441 (3118,  7764)";" 62525 (35776,  89274)";"42565 (24993,  60137)";" 8346 (5037, 11656)";"12728 ( 8258, 17198)";"22910 (14864, 30956)";"40%"
"2015-03-21";"120";" 60571 (43428,  77715)";"1052 ( 620, 1483)";"311019 (217629, 404408)";" 5354 (3077,  7631)";" 61528 (35312,  87745)";"41874 (24669,  59080)";" 8209 (4972, 11446)";"12521 ( 8144, 16898)";"22537 (14659, 30416)";"40%"
"2015-03-20";"119";" 59520 (42807,  76232)";"1034 ( 612, 1456)";"305665 (214551, 396778)";" 5268 (3037,  7499)";" 60545 (34854,  86237)";"41193 (24349,  58037)";" 8073 (4907, 11240)";"12317 ( 8032, 16601)";"22170 (14457, 29882)";"40%"
"2015-03-19";"118";" 58485 (42195,  74776)";"1018 ( 604, 1431)";"300396 (211513, 389279)";" 5184 (2998,  7370)";" 59575 (34402,  84748)";"40521 (24033,  57010)";" 7940 (4843, 11036)";"12115 ( 7921, 16309)";"21807 (14258, 29357)";"40%"
"2015-03-18";"117";" 57468 (41590,  73346)";"1001 ( 597, 1405)";"295212 (208515, 381910)";" 5100 (2959,  7242)";" 58618 (33957,  83280)";"39859 (23721,  55998)";" 7808 (4780, 10836)";"11917 ( 7812, 16022)";"21450 (14061, 28839)";"40%"
"2015-03-17";"116";" 56467 (40993,  71941)";" 984 ( 589, 1380)";"290112 (205555, 374669)";" 5018 (2921,  7115)";" 57674 (33517,  81832)";"39207 (23413,  55000)";" 7678 (4717, 10639)";"11721 ( 7704, 15738)";"21098 (13867, 28329)";"40%"
"2015-03-16";"115";" 55483 (40404,  70561)";" 968 ( 581, 1355)";"285094 (202634, 367554)";" 4937 (2883,  6991)";" 56743 (33083,  80404)";"38563 (23109,  54018)";" 7551 (4656, 10446)";"11529 ( 7598, 15459)";"20751 (13676, 27827)";"40%"
"2015-03-15";"114";" 54514 (39823,  69205)";" 952 ( 574, 1331)";"280157 (199750, 360563)";" 4857 (2846,  6868)";" 55825 (32655,  78995)";"37929 (22809,  53049)";" 7425 (4595, 10255)";"11339 ( 7493, 15184)";"20409 (13487, 27332)";"40%"
"2015-03-14";"113";" 53562 (39249,  67875)";" 937 ( 566, 1307)";"275299 (196904, 353695)";" 4778 (2809,  6747)";" 54920 (32233,  77607)";"37305 (22513,  52096)";" 7301 (4535, 10067)";"11151 ( 7389, 14913)";"20072 (13301, 26844)";"40%"
"2015-03-13";"112";" 52625 (38683,  66568)";" 921 ( 559, 1283)";"270521 (194095, 346948)";" 4701 (2773,  6628)";" 54027 (31816,  76238)";"36689 (22220,  51157)";" 7179 (4475,  9882)";"10967 ( 7287, 14647)";"19740 (13117, 26364)";"40%"
"2015-03-12";"111";" 51704 (38124,  65284)";" 906 ( 552, 1260)";"265821 (191322, 340320)";" 4624 (2737,  6511)";" 53147 (31404,  74889)";"36082 (21931,  50232)";" 7058 (4416,  9700)";"10785 ( 7186, 14384)";"19413 (12935, 25891)";"40%"
"2015-03-11";"110";" 50798 (37572,  64024)";" 891 ( 544, 1237)";"261197 (188584, 333809)";" 4548 (2701,  6395)";" 52279 (30998,  73560)";"35484 (21646,  49322)";" 6940 (4358,  9521)";"10606 ( 7087, 14125)";"19091 (12756, 25425)";"40%"
"2015-03-10";"109";" 49907 (37028,  62787)";" 876 ( 537, 1215)";"256649 (185883, 327415)";" 4474 (2666,  6281)";" 51423 (30596,  72250)";"34895 (21364,  48426)";" 6823 (4301,  9345)";"10429 ( 6989, 13870)";"18773 (12579, 24967)";"40%"
"2015-03-09";"108";" 49031 (36490,  61572)";" 862 ( 530, 1193)";"252175 (183216, 321134)";" 4400 (2632,  6169)";" 50580 (30200,  70960)";"34314 (21085,  47543)";" 6708 (4244,  9172)";"10256 ( 6892, 13620)";"18460 (12405, 24516)";"40%"
"2015-03-08";"107";" 48170 (35960,  60380)";" 847 ( 523, 1171)";"247775 (180584, 314966)";" 4328 (2598,  6058)";" 49749 (29809,  69688)";"33743 (20810,  46675)";" 6595 (4189,  9002)";"10084 ( 6796, 13373)";"18152 (12233, 24071)";"40%"
"2015-03-07";"106";" 47323 (35436,  59209)";" 833 ( 517, 1149)";"243447 (177985, 308908)";" 4257 (2564,  5949)";" 48929 (29423,  68436)";"33179 (20539,  45820)";" 6484 (4133,  8834)";" 9916 ( 6701, 13130)";"17848 (12063, 23634)";"40%"
"2015-03-06";"105";" 46490 (34920,  58059)";" 819 ( 510, 1128)";"239190 (175421, 302959)";" 4186 (2531,  5842)";" 48122 (29041,  67203)";"32625 (20270,  44979)";" 6374 (4079,  8670)";" 9750 ( 6608, 12891)";"17549 (11895, 23204)";"40%"
"2015-03-05";"104";" 45671 (34410,  56931)";" 805 ( 503, 1107)";"235004 (172890, 297118)";" 4117 (2498,  5736)";" 47326 (28665,  65988)";"32078 (20005,  44151)";" 6266 (4025,  8508)";" 9586 ( 6516, 12656)";"17255 (11729, 22781)";"40%"
"2015-03-04";"103";" 44865 (33907,  55824)";" 792 ( 497, 1087)";"230887 (170391, 291383)";" 4049 (2466,  5632)";" 46543 (28293,  64792)";"31540 (19743,  43337)";" 6160 (3971,  8349)";" 9425 ( 6425, 12425)";"16965 (11566, 22364)";"40%"
"2015-03-03";"102";" 44073 (33410,  54737)";" 778 ( 490, 1067)";"226838 (167925, 285751)";" 3981 (2434,  5529)";" 45770 (27925,  63615)";"31010 (19484,  42536)";" 6055 (3919,  8192)";" 9266 ( 6336, 12197)";"16679 (11404, 21954)";"40%"
"2015-03-02";"101";" 43295 (32920,  53670)";" 765 ( 484, 1047)";"222857 (165491, 280222)";" 3915 (2402,  5428)";" 45009 (27562,  62456)";"30488 (19228,  41748)";" 5952 (3866,  8038)";" 9110 ( 6247, 11973)";"16398 (11245, 21551)";"40%"
"2015-03-01";"100";" 42530 (32436,  52623)";" 752 ( 477, 1028)";"218942 (163089, 274794)";" 3850 (2371,  5329)";" 44259 (27203,  61316)";"29974 (18975,  40973)";" 5851 (3815,  7887)";" 8956 ( 6160, 11753)";"16121 (11088, 21155)";"40%"
"2015-02-28";"99";" 41777 (31959,  51595)";" 740 ( 471, 1009)";"215092 (160718, 269465)";" 3786 (2340,  5232)";" 43521 (26849,  60193)";"29468 (18725,  40211)";" 5751 (3764,  7738)";" 8805 ( 6074, 11536)";"15849 (10932, 20765)";"40%"
"2015-02-27";"98";" 41037 (31488,  50587)";" 727 ( 465,  990)";"211306 (158378, 264234)";" 3722 (2309,  5135)";" 42793 (26499,  59088)";"28970 (18478,  39461)";" 5653 (3714,  7592)";" 8656 ( 5988, 11323)";"15580 (10779, 20381)";"40%"
"2015-02-26";"97";" 40310 (31023,  49597)";" 715 ( 459,  971)";"207584 (156068, 259099)";" 3660 (2279,  5041)";" 42077 (26153,  58001)";"28479 (18234,  38724)";" 5556 (3664,  7448)";" 8509 ( 5904, 11113)";"15316 (10628, 20004)";"40%"
"2015-02-25";"96";" 39595 (30564,  48626)";" 703 ( 453,  953)";"203924 (153789, 254059)";" 3598 (2249,  4948)";" 41371 (25811,  56932)";"27996 (17993,  37999)";" 5461 (3615,  7307)";" 8364 ( 5821, 10907)";"15056 (10478, 19633)";"40%"
"2015-02-24";"95";" 38893 (30112,  47673)";" 691 ( 447,  935)";"200325 (151539, 249111)";" 3538 (2220,  4856)";" 40676 (25473,  55879)";"27521 (17755,  37287)";" 5368 (3567,  7168)";" 8222 ( 5739, 10705)";"14800 (10331, 19269)";"40%"
"2015-02-23";"94";" 38202 (29665,  46738)";" 679 ( 441,  918)";"196787 (149319, 244255)";" 3478 (2191,  4766)";" 39992 (25139,  54844)";"27053 (17519,  36586)";" 5275 (3519,  7032)";" 8082 ( 5659, 10506)";"14548 (10185, 18910)";"40%"
"2015-02-22";"93";" 37523 (29225,  45821)";" 667 ( 435,  900)";"193309 (147128, 239490)";" 3420 (2162,  4678)";" 39318 (24810,  53826)";"26592 (17287,  35898)";" 5185 (3471,  6898)";" 7944 ( 5579, 10310)";"14300 (10042, 18558)";"40%"
"2015-02-21";"92";" 36855 (28790,  44921)";" 656 ( 429,  883)";"189889 (144966, 234812)";" 3362 (2134,  4590)";" 38654 (24484,  52825)";"26139 (17057,  35221)";" 5096 (3424,  6767)";" 7809 ( 5500, 10117)";"14055 ( 9900, 18211)";"40%"
"2015-02-20";"91";" 36199 (28361,  44037)";" 645 ( 423,  867)";"186527 (142832, 230222)";" 3305 (2105,  4505)";" 38001 (24162,  51840)";"25693 (16829,  34556)";" 5008 (3378,  6638)";" 7675 ( 5422,  9928)";"13815 ( 9760, 17870)";"40%"
"2015-02-19";"90";" 35554 (27937,  43171)";" 634 ( 418,  850)";"183222 (140726, 225718)";" 3249 (2078,  4421)";" 37358 (23843,  50872)";"25253 (16605,  33902)";" 4922 (3332,  6511)";" 7544 ( 5345,  9742)";"13579 ( 9622, 17536)";"40%"
"2015-02-18";"89";" 34920 (27520,  42321)";" 623 ( 412,  834)";"179973 (138648, 221298)";" 3194 (2050,  4338)";" 36724 (23529,  49920)";"24821 (16383,  33259)";" 4837 (3287,  6386)";" 7414 ( 5270,  9559)";"13346 ( 9485, 17207)";"40%"
"2015-02-17";"88";" 34297 (27108,  41487)";" 612 ( 406,  818)";"176779 (136598, 216960)";" 3140 (2023,  4256)";" 36101 (23218,  48984)";"24396 (16163,  32628)";" 4753 (3243,  6263)";" 7287 ( 5195,  9380)";"13117 ( 9351, 16883)";"40%"
"2015-02-16";"87";" 33685 (26701,  40669)";" 602 ( 401,  803)";"173639 (134574, 212704)";" 3086 (1996,  4176)";" 35487 (22911,  48063)";"23977 (15947,  32008)";" 4671 (3199,  6143)";" 7162 ( 5121,  9203)";"12892 ( 9218, 16566)";"40%"
"2015-02-15";"86";" 33083 (26300,  39866)";" 591 ( 396,  787)";"170553 (132577, 208528)";" 3034 (1970,  4098)";" 34883 (22607,  47159)";"23565 (15732,  31398)";" 4590 (3155,  6025)";" 7039 ( 5048,  9030)";"12670 ( 9086, 16253)";"40%"
"2015-02-14";"85";" 32492 (25904,  39079)";" 581 ( 390,  772)";"167519 (130607, 204431)";" 2982 (1944,  4020)";" 34288 (22307,  46270)";"23160 (15520,  30800)";" 4510 (3112,  5909)";" 6918 ( 4976,  8859)";"12452 ( 8957, 15947)";"40%"
"2015-02-13";"84";" 31910 (25514,  38307)";" 571 ( 385,  758)";"164537 (128663, 200411)";" 2931 (1918,  3944)";" 33703 (22010,  45396)";"22761 (15311,  30212)";" 4432 (3069,  5795)";" 6798 ( 4905,  8692)";"12237 ( 8829, 15645)";"40%"
"2015-02-12";"83";" 31339 (25129,  37549)";" 561 ( 380,  743)";"161606 (126745, 196467)";" 2881 (1892,  3870)";" 33127 (21717,  44537)";"22369 (15104,  29634)";" 4355 (3027,  5683)";" 6681 ( 4835,  8527)";"12026 ( 8703, 15349)";"40%"
"2015-02-11";"82";" 30778 (24749,  36806)";" 552 ( 375,  729)";"158725 (124852, 192598)";" 2832 (1867,  3796)";" 32560 (21427,  43693)";"21983 (14900,  29066)";" 4280 (2986,  5574)";" 6566 ( 4766,  8366)";"11818 ( 8578, 15058)";"40%"
"2015-02-10";"81";" 30226 (24374,  36078)";" 542 ( 370,  715)";"155893 (122985, 188802)";" 2783 (1842,  3724)";" 32002 (21141,  42863)";"21603 (14698,  28509)";" 4205 (2945,  5466)";" 6452 ( 4697,  8207)";"11614 ( 8455, 14773)";"40%"
"2015-02-09";"80";" 29684 (24005,  35363)";" 533 ( 365,  701)";"153110 (121143, 185078)";" 2735 (1817,  3653)";" 31453 (20858,  42049)";"21230 (14498,  27962)";" 4132 (2904,  5360)";" 6340 ( 4630,  8051)";"11413 ( 8334, 14492)";"40%"
"2015-02-08";"79";" 29151 (23640,  34662)";" 524 ( 360,  688)";"150375 (119325, 181425)";" 2688 (1793,  3584)";" 30913 (20578,  41248)";"20862 (14301,  27424)";" 4060 (2864,  5256)";" 6231 ( 4563,  7898)";"11215 ( 8214, 14216)";"40%"
"2015-02-07";"78";" 28627 (23280,  33974)";" 515 ( 355,  674)";"147687 (117532, 177842)";" 2642 (1769,  3515)";" 30382 (20302,  40461)";"20501 (14106,  26896)";" 3989 (2824,  5154)";" 6123 ( 4498,  7748)";"11021 ( 8096, 13946)";"40%"
